rank,id,item
1517,7,com.mucommander.file.impl.local.LocalFile.LocalFile(FileURL)
2411,10,com.mucommander.ui.dialog.auth.AuthDialog.comboBoxSelectionChanged(SaneComboBox)
2679,11,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
3964,13,com.mucommander.ui.main.table.FileTable.QuickSearch.keyPressed(KeyEvent)
618,16,"com.mucommander.bonjour.BonjourService.BonjourService(String,FileURL,String)"
2,20,com.mucommander.ui.viewer.ViewerRegistrar.createFileViewer(AbstractFile)
2909,21,com.mucommander.ui.main.table.FileTable.setColumnModel(TableColumnModel)
1346,24,com.mucommander.ui.viewer.text.TextFactory.doGenericChecks(AbstractFile)
65,30,"com.mucommander.file.FileFactory.getFile(FileURL,AbstractFile)"
1914,31,com.mucommander.auth.Credentials.equals(Object)
2528,37,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
54,39,com.mucommander.file.impl.local.LocalFile.FSRandomAccessInputStream.getLength()
312,43,com.mucommander.file.impl.local.LocalFile.isSymlink()
311,48,"com.mucommander.file.FileFactory.getFile(FileURL,AbstractFile)"
1019,52,"com.mucommander.job.SendMailJob.processFile(AbstractFile,Object)"
2524,59,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
3068,60,com.mucommander.ui.dialog.pref.general.MiscPanel.MiscPanel(PreferencesDialog)
19,66,com.mucommander.Launcher.main(String)
1977,67,"com.mucommander.ui.main.FolderPanel.tryChangeCurrentFolder(FileURL,CredentialsMapping)"
2017,77,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
2626,78,com.mucommander.ui.main.LocationTextField.textFieldValidated()
1310,85,com.mucommander.Launcher.main(String)
328,86,com.mucommander.ShutdownHook.performShutdownTasks()
1616,87,"com.mucommander.ui.autocomplete.completers.Completer.updateListData(JList,AutocompleterTextComponent)"
2985,89,com.mucommander.ui.main.WindowManager.windowDeactivated(WindowEvent)
3596,91,"com.mucommander.ui.dialog.pref.general.AppearancePanel.createIconSizeCombo(String,float)"
70,94,com.mucommander.file.impl.local.LocalFileURLTest.testLocalPathParsing()
14,98,"com.mucommander.file.impl.zip.provider.ZipFile.setFilename(ZipEntry,String)"
3628,102,com.mucommander.ui.viewer.image.ImageViewer.updateFrame()
3386,103,com.mucommander.ui.main.DrivePopupButton.configurationChanged(ConfigurationEvent)
1711,107,com.mucommander.file.impl.zip.provider.ZipEntry.ZipEntry(java.util.zip.ZipEntry)
4464,108,"com.mucommander.ui.main.WindowManager.getInitialAbstractPath(String,int)"
2364,110,"com.mucommander.command.CommandManager.registerAssociation(String,FileFilter)"
1957,116,com.mucommander.ui.action.ActionManager.registerActions()
1754,117,com.mucommander.file.filter.FileFilterHelper.configurationChanged(ConfigurationEvent)
2880,137,"com.mucommander.file.util.PathUtils.resolveDestination(String,AbstractFile)"
3232,138,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
53,139,com.mucommander.file.impl.local.LocalFile.getVolume()
4950,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.ShortcutsTableCellRenderer()
4089,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons.run()
565,145,"com.mucommander.extension.ClassFinder.find(AbstractFile,ClassFilter,ClassLoader)"
3038,147,com.mucommander.job.TempCopyJob.getTemporaryFileName(AbstractFile)
6851,151,com.mucommander.ui.main.table.FileTableModel.getFirstMarkableRow()
131,153,com.mucommander.Launcher.main(String)
3730,163,com.mucommander.ui.layout.ProportionalSplitPane.componentResized(ComponentEvent)
3369,164,com.mucommander.ui.dnd.ClipboardNotifier.toggleActionState()
5704,165,"com.mucommander.ui.main.MainFrame.init(FolderPanel,FolderPanel)"
5642,166,com.mucommander.ui.button.ToolbarMoreButton.ToolbarMoreButton(JToolBar)
79,167,"com.mucommander.job.AbstractCopyJob.checkForCollision(AbstractFile,AbstractFile,AbstractFile,boolean)"
2,173,com.mucommander.auth.CredentialsManager.addCredentials(CredentialsMapping)
6802,176,com.mucommander.ui.main.table.FileTable.mouseDragged(MouseEvent)
5396,177,com.mucommander.ui.text.KeyStrokeUtils.getKeyStrokeRepresentation(KeyStroke)
4878,178,com.mucommander.ui.chooser.PreviewLabel.clone()
4813,179,com.mucommander.ui.theme.ThemeData.getFont(int)
6135,212,com.mucommander.ui.dialog.shell.RunDialog.processDied(int)
5086,213,"com.mucommander.ui.action.impl.GoToDocumentationAction.GoToDocumentationAction(MainFrame,Hashtable)"
5978,214,com.mucommander.ui.theme.ThemeManager.predefinedThemeNames()
5107,217,com.mucommander.job.ArchiveJob.jobStopped()
4873,221,com.mucommander.ui.main.table.FileTable.mouseClicked(MouseEvent)
4674,225,"com.mucommander.ui.icon.FileIcons.getFileIcon(AbstractFile,Dimension)"
4019,226,com.mucommander.ui.main.table.FileTableHeader.mouseClicked(MouseEvent)
375,227,com.mucommander.file.impl.local.LocalFile.getVolumes()
534,231,com.mucommander.job.FileJob.setAutoSkipErrors(boolean)
6162,233,com.mucommander.ui.main.table.FolderChangeMonitor.FolderChangeMonitor(FolderPanel)
2453,235,"com.mucommander.io.BinaryDetector.guessBinary(byte,int,int)"
3842,237,"com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)"
5595,238,"com.mucommander.ui.main.MainFrame.init(FolderPanel,FolderPanel)"
1,243,com.mucommander.ui.viewer.EditorFrame.createMenuBar()
5172,244,"com.mucommander.ui.viewer.text.TextEditorImpl.startEditing(AbstractFile,DocumentListener)"
5366,245,"com.mucommander.ui.viewer.text.TextEditorImpl.loadDocument(InputStream,String)"
2,247,"com.mucommander.ui.action.ActionKeymap.registerActionAccelerators(MuAction,JComponent,int)"
4583,248,com.mucommander.ui.viewer.text.TextEditor.saveAs(AbstractFile)
2698,250,"com.mucommander.ui.main.FolderPanel.setCurrentFolder(AbstractFile,AbstractFile,AbstractFile)"
4742,251,com.mucommander.ui.viewer.text.TextEditorImpl.write(OutputStream)
1,254,com.mucommander.Launcher.main(String)
