rank,id,item
177,1,org.apache.openjpa.jdbc.sql.OracleDictionary
288,2,org.apache.openjpa.kernel.BrokerImpl
575,3,org.apache.openjpa.jdbc.meta.strats.EmbedValueHandler
152,4,org.apache.openjpa.jdbc.kernel.JDBCStoreManager
477,5,org.apache.openjpa.jdbc.sql.DBDictionary
194,6,org.apache.openjpa.jdbc.sql.PostgresDictionary
436,7,org.apache.openjpa.persistence.jdbc.sqlcache.TestPreparedQueryCache
379,8,org.apache.openjpa.jdbc.sql.FirebirdDictionary
85,9,org.apache.openjpa.conf.Compatibility
1005,10,org.apache.openjpa.jdbc.sql.DB2Dictionary
513,12,org.apache.openjpa.persistence.jdbc.sqlcache.TestPreparedQueryCache
1874,13,org.apache.openjpa.jdbc.kernel.exps.UnaryOp
1058,14,org.apache.openjpa.jdbc.kernel.PreparedQueryImpl
965,15,org.apache.openjpa.lib.conf.ConfigurationImpl
488,16,org.apache.openjpa.jdbc.sql.OracleDictionary
1181,17,org.apache.openjpa.persistence.util.SourceCode
1654,18,org.apache.openjpa.meta.MetaDataRepository
750,19,org.apache.openjpa.meta.FieldMetaData
1137,20,org.apache.openjpa.jdbc.sql.SybaseDictionary
3868,21,org.apache.openjpa.kernel.StateManagerImpl
657,22,org.apache.openjpa.persistence.EntityManagerImpl
3634,23,org.apache.openjpa.persistence.lockmgr.TestPessimisticLocks
1480,24,org.apache.openjpa.jdbc.kernel.JDBCStoreManager
2823,25,org.apache.openjpa.jdbc.kernel.BatchingPreparedStatementManagerImpl
819,26,org.apache.openjpa.enhance.PCEnhancer
960,27,org.apache.openjpa.conf.TestQueryHints
3969,28,org.apache.openjpa.kernel.StateManagerImpl
409,29,org.apache.openjpa.meta.ClassMetaData
353,30,org.apache.openjpa.meta.FieldMetaData
1371,31,org.apache.openjpa.persistence.PersistenceProviderImpl
465,32,org.apache.openjpa.conf.Compatibility
709,33,org.apache.openjpa.jdbc.sql.OracleDictionary
737,34,org.apache.openjpa.kernel.DelegatingQuery
869,35,org.apache.openjpa.persistence.XMLPersistenceMetaDataParser
