rank,id,item
1297,1,org.apache.openjpa.jdbc.sql.OracleDictionary
473,2,org.apache.openjpa.integration.validation.TestValidationGroups
1542,3,org.apache.openjpa.persistence.jdbc.annotations.EmbedOwner
399,4,org.apache.openjpa.jdbc.kernel.JDBCStoreManager
329,5,org.apache.openjpa.jdbc.sql.DBDictionary
488,6,org.apache.openjpa.persistence.query.TestQueryEscapeCharacters
259,7,org.apache.openjpa.persistence.jdbc.sqlcache.TestPreparedQueryCache
1846,8,org.apache.openjpa.jdbc.sql.FirebirdDictionary
212,9,org.apache.openjpa.conf.Compatibility
773,10,org.apache.openjpa.persistence.delimited.identifiers.EntityH
735,12,org.apache.openjpa.persistence.jdbc.sqlcache.TestPreparedQueryCache
2432,13,org.apache.openjpa.jdbc.kernel.exps.DatastoreFunction
1337,14,org.apache.openjpa.jdbc.kernel.PreparedQueryImpl
966,15,org.apache.openjpa.persistence.PersistenceProductDerivation
575,16,org.apache.openjpa.jdbc.sql.OracleDictionary
1383,17,org.apache.openjpa.persistence.util.SourceCode
2828,18,org.apache.openjpa.meta.MetaDataRepository
326,19,org.apache.openjpa.meta.FieldMetaData
3231,20,org.apache.openjpa.jdbc.sql.SybaseDictionary
1325,21,org.apache.openjpa.kernel.StateManagerImpl
2225,22,org.apache.openjpa.persistence.EntityManagerImpl
1201,23,org.apache.openjpa.persistence.lockmgr.TestPessimisticLocks
229,24,org.apache.openjpa.jdbc.kernel.JDBCStoreManager
400,25,org.apache.openjpa.jdbc.kernel.BatchingPreparedStatementManagerImpl
2446,26,org.apache.openjpa.enhance.PCEnhancer
950,27,org.apache.openjpa.conf.TestQueryHints
2889,28,org.apache.openjpa.kernel.StateManagerImpl
574,29,org.apache.openjpa.jdbc.meta.MappingTool
585,30,org.apache.openjpa.meta.FieldMetaData
1992,31,org.apache.openjpa.persistence.PersistenceProviderImpl
192,32,org.apache.openjpa.conf.Compatibility
1418,33,org.apache.openjpa.jdbc.sql.DBDictionary
918,34,org.apache.openjpa.kernel.DelegatingQuery
575,35,org.apache.openjpa.persistence.XMLPersistenceMetaDataParser
