rank,id,item
357,3,org.apache.openjpa.jdbc.meta.strats.MaxEmbeddedClobFieldStrategy
315,5,org.apache.openjpa.jdbc.sql.DBDictionary
225,9,org.apache.openjpa.kernel.BrokerImpl
1135,13,org.apache.openjpa.jdbc.kernel.exps.UnaryOp
108,15,org.apache.openjpa.persistence.PersistenceProductDerivation
2306,20,org.apache.openjpa.jdbc.sql.SybaseDictionary
1294,21,org.apache.openjpa.kernel.StateManagerImpl
1070,22,org.apache.openjpa.persistence.EntityManagerImpl
607,24,org.apache.openjpa.jdbc.kernel.JDBCStoreManager
2340,28,org.apache.openjpa.kernel.StateManagerImpl
306,30,org.apache.openjpa.meta.FieldMetaData
108,35,org.apache.openjpa.conf.Compatibility
