rank,id,item
5261,1,org.apache.openjpa.jdbc.meta.MappingInfo
5231,2,org.apache.openjpa.meta.AbstractCFMetaDataFactory
3716,3,org.apache.openjpa.persistence.callbacks.ListenerImpl
5117,4,org.apache.openjpa.jdbc.sql.SQLBuffer
5128,5,org.apache.openjpa.lib.conf.Configurations
5241,6,org.apache.openjpa.jdbc.schema.SchemaTool
5184,7,org.apache.openjpa.lib.conf.ConfigurationImpl
5271,8,org.apache.openjpa.jdbc.meta.MappingRepository
3261,9,org.apache.openjpa.persistence.jest.TokenReplacedStream
4838,10,org.apache.openjpa.meta.SequenceMetaData
4910,11,org.apache.openjpa.jdbc.kernel.NativeJDBCSeq
3549,12,org.apache.openjpa.jdbc.meta.strats.XMLValueHandler
2567,13,org.apache.openjpa.persistence.validation.TestValidationMode
183,14,org.apache.openjpa.kernel.HollowState
2638,15,org.apache.openjpa.jdbc.kernel.exps.DatastoreFunction
4981,16,org.apache.openjpa.meta.JavaTypes
5282,17,org.apache.openjpa.kernel.BrokerImpl
1569,18,org.apache.openjpa.jdbc.schema.Unique
