rank,id,item
1854,1,org.apache.openjpa.jdbc.meta.MappingInfo
2227,2,org.apache.openjpa.meta.AbstractCFMetaDataFactory
3950,3,org.apache.openjpa.persistence.callbacks.ListenerImpl
1942,4,org.apache.openjpa.jdbc.sql.OracleDictionary
198,5,org.apache.openjpa.lib.conf.ConfigurationImpl
2071,6,org.apache.openjpa.jdbc.schema.SchemaTool
3379,7,org.apache.openjpa.lib.conf.ConfigurationImpl
4541,8,org.apache.openjpa.jdbc.meta.MappingRepository
4933,9,org.apache.openjpa.persistence.jest.TokenReplacedStream
1669,10,org.apache.openjpa.meta.SequenceMetaData
1457,11,org.apache.openjpa.jdbc.sql.DBDictionary
794,12,org.apache.openjpa.jdbc.meta.strats.XMLValueHandler
3697,13,org.apache.openjpa.conf.OpenJPAConfigurationImpl
102,14,org.apache.openjpa.kernel.EDirtyState
4233,15,org.apache.openjpa.jdbc.kernel.exps.DatastoreFunction
3477,16,org.apache.openjpa.meta.JavaTypes
3068,17,org.apache.openjpa.kernel.BrokerImpl
8,18,org.apache.openjpa.jdbc.kernel.TableJDBCSeq
