UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.CombinerOptimizer.chunkSize
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.seen
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.log
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler$LastInputStreamingOptimizer.log
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.MRPrinter.mIndent
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.physicalLayer.LogToPhyTranslationVisitor.load
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.physicalLayer.LogToPhyTranslationVisitor.log
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.physicalLayer.LogToPhyTranslationVisitor.r
UrF 	Unread field: org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PlanPrinter.printer
UrF 	Unread field: org.apache.pig.backend.hadoop.streaming.HadoopExecutableManager.writeHeaderFooter
UrF 	Unread field: org.apache.pig.builtin.BinStorage.i
UrF 	Unread field: org.apache.pig.builtin.PigStorage.os
UrF 	Unread field: org.apache.pig.builtin.Utf8StorageConverter.pigLogger
UrF 	Unread field: org.apache.pig.impl.logicalLayer.LogicalPlanCloneHelper.mOriginalPlan
UrF 	Unread field: org.apache.pig.impl.logicalLayer.LOPrinter.printer
UrF 	Unread field: org.apache.pig.impl.plan.optimizer.RuleMatcher.mCommonNodes
UrF 	Unread field: org.apache.pig.impl.plan.optimizer.RulePlanPrinter.printer
UrF 	Unread field: org.apache.pig.impl.plan.PlanPrinter.printer
UrF 	Unread field: org.apache.pig.pen.DerivedDataVisitor.pc
UrF 	Unread field: org.apache.pig.PigServer.cachedScript
UuF 	Unused field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReducePOStoreImpl.pc
UuF 	Unused field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReducePOStoreImpl.sFile
UuF 	Unused field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReducePOStoreImpl.storer
UuF 	Unused field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners.WeightedRangePartitioner.numQuantiles
UuF 	Unused field: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners.WeightedRangePartitioner.samples
