rank,id,item
7954,1,org.apache.solr.cloud.Overseer
773,2,org.apache.solr.cloud.OverseerCollectionProcessor
1284,3,org.apache.solr.handler.ReplicationHandler
52,4,org.apache.solr.client.solrj.embedded.JettySolrRunner
852,5,org.apache.solr.common.util.NamedListTest
6687,6,org.apache.solr.client.solrj.impl.CloudSolrServerTest
2258,7,org.apache.solr.common.cloud.DocRouter
414,8,org.apache.solr.update.SolrIndexSplitterTest
4784,9,org.apache.solr.util.SimplePostToolTest
5274,10,org.apache.solr.spelling.suggest.Suggester
2390,11,org.apache.solr.cloud.ZkCLI
750,12,org.apache.solr.core.SolrResourceLoader
1193,13,org.apache.solr.handler.TestReplicationHandler
1768,14,org.apache.solr.core.TestJmxIntegration
1565,15,org.apache.solr.schema.IndexSchema
5945,16,org.apache.solr.core.CoreDescriptor
4075,17,org.apache.solr.common.util.JavaBinCodec
1589,18,org.apache.solr.cloud.ZkController
2616,19,org.apache.solr.core.CoreContainer
1994,20,org.apache.solr.cloud.OverseerCollectionProcessor
311,21,org.apache.solr.schema.BoolField
926,22,org.apache.solr.schema.IndexSchema
777,23,org.apache.solr.schema.OpenExchangeRatesOrgProvider
53,24,org.apache.solr.uima.processor.UIMAUpdateRequestProcessorTest
2794,25,org.apache.solr.handler.dataimport.SolrEntityProcessor
1195,26,org.apache.solr.core.ConfigSolr
2882,28,org.apache.solr.cloud.ZkCLITest
5386,29,org.apache.solr.store.hdfs.HdfsDirectory
2447,30,org.apache.solr.update.AddUpdateCommand
5264,31,org.apache.solr.store.hdfs.HdfsDirectory.HdfsIndexOutput
5237,32,org.apache.solr.spelling.SpellCheckCollatorTest
1659,33,org.apache.solr.schema.TestManagedSchema
755,34,org.apache.solr.core.TestBadConfig
584,35,org.apache.solr.handler.admin.LukeRequestHandlerTest
2661,37,org.apache.solr.core.TestJmxIntegration
17,38,org.apache.solr.servlet.SolrRequestParsers
3098,39,org.apache.solr.servlet.SolrRequestParsers.ByteArrayOutputStream2
3884,41,org.apache.solr.update.SolrIndexSplitter
2454,42,org.apache.solr.core.SolrConfig
147,43,org.apache.solr.handler.TestReplicationHandler
1078,44,org.apache.solr.core.TestSolrXmlPersistence
1044,45,org.apache.solr.handler.admin.CoreAdminHandler
232,46,org.apache.solr.core.SolrCore
2566,47,org.apache.solr.core.CoreContainer
1446,48,org.apache.solr.core.TestLazyCores
183,49,org.apache.solr.handler.extraction.SolrContentHandler
5053,50,org.apache.solr.spelling.SpellCheckCollator
3483,51,org.apache.solr.update.processor.FieldMutatingUpdateProcessorTest
247,52,org.apache.solr.common.params.CollectionParams
2585,53,org.apache.solr.update.processor.DistributedUpdateProcessor
1622,54,org.apache.solr.handler.component.QueryElevationComponent
7634,55,org.apache.solr.servlet.ZookeeperInfoServlet
2228,57,org.apache.solr.SolrTestCaseJ4
2366,58,org.apache.solr.request.SimpleFacets
3224,59,org.apache.solr.search.ValueSourceParser
