rank,id,item
1151,1,org.apache.solr.cloud.Overseer
1110,2,org.apache.solr.cloud.OverseerCollectionProcessor
726,3,org.apache.solr.schema.TestCloudManagedSchema
72,4,org.apache.solr.client.solrj.embedded.JettySolrRunner
1019,5,org.apache.solr.update.processor.CloneFieldUpdateProcessorFactory
416,6,org.apache.solr.client.solrj.impl.CloudSolrServerTest
923,7,org.apache.solr.common.cloud.DocRouter
489,8,org.apache.solr.cloud.OverseerCollectionProcessor
2282,9,org.apache.solr.util.SimplePostToolTest
1568,10,org.apache.solr.spelling.suggest.Suggester
1491,11,org.apache.solr.cloud.ZkCLI
121,12,org.apache.solr.response.VelocityResponseWriter
197,13,org.apache.solr.handler.SnapPuller
2005,14,org.apache.solr.core.CoreContainer
1534,15,org.apache.solr.schema.IndexSchema
1963,16,org.apache.solr.core.CoreDescriptor
287,17,org.apache.solr.common.util.JavaBinCodec
347,18,org.apache.solr.cloud.ZkController
32,19,org.apache.solr.core.CoreContainer
143,20,org.apache.solr.cloud.DeleteShardTest
79,21,org.apache.solr.search.function.TestFunctionQuery
1806,22,org.apache.solr.schema.BadIndexSchemaTest
1019,23,org.apache.solr.schema.OpenExchangeRatesOrgProviderTest
85,24,org.apache.solr.uima.processor.UIMAUpdateRequestProcessorFactory
269,25,org.apache.solr.handler.dataimport.SolrEntityProcessor
269,26,org.apache.solr.core.ConfigSolr
562,28,org.apache.solr.cloud.ZkCLITest
279,29,org.apache.solr.store.hdfs.HdfsDirectory
90,30,org.apache.solr.update.AddUpdateCommand
24,31,org.apache.solr.store.hdfs.HdfsDirectory.HdfsIndexOutput
1408,32,org.apache.solr.spelling.SpellCheckCollatorTest
545,33,org.apache.solr.schema.TestManagedSchema
583,34,org.apache.solr.core.SolrConfig
1031,35,org.apache.solr.handler.admin.LukeRequestHandler
554,37,org.apache.solr.core.TestJmxIntegration
49,38,org.apache.solr.servlet.SolrRequestParsers
991,39,org.apache.solr.servlet.SolrRequestParserTest
1394,41,org.apache.solr.update.SolrIndexSplitter
609,42,org.apache.solr.core.Config
45,43,org.apache.solr.core.SolrConfig
753,44,org.apache.solr.handler.dataimport.TestContentStreamDataSource
1632,45,org.apache.solr.cloud.OverseerCollectionProcessor
157,46,org.apache.solr.core.SolrCore
1783,47,org.apache.solr.core.TestLazyCores
115,48,org.apache.solr.core.CoreContainer
854,49,org.apache.solr.handler.extraction.ExtractingRequestHandlerTest
970,50,org.apache.solr.spelling.WordBreakSolrSpellCheckerTest
504,51,org.apache.solr.update.processor.UniqFieldsUpdateProcessorFactory.UniqFieldsUpdateProcessor
704,52,org.apache.solr.common.params.RequiredSolrParams
733,53,org.apache.solr.update.processor.DistributedUpdateProcessor
241,54,org.apache.solr.handler.component.QueryElevationComponent
1877,55,org.apache.solr.servlet.ZookeeperInfoServlet
97,57,org.apache.solr.util.AbstractSolrTestCase
600,58,org.apache.solr.request.UnInvertedField
352,59,org.apache.solr.search.function.distance.DistanceFunctionTest
