rank,id,item
7590,1,org.apache.solr.cloud.Overseer
732,2,org.apache.solr.cloud.OverseerCollectionProcessor
475,3,org.apache.solr.response.XMLResponseWriter
85,4,org.apache.solr.client.solrj.embedded.JettySolrRunner
977,5,org.apache.solr.update.processor.StatelessScriptUpdateProcessorFactory
4056,6,org.apache.solr.client.solrj.impl.CloudSolrServer
2582,7,org.apache.solr.common.cloud.DocRouter
1278,8,org.apache.solr.handler.admin.CoreAdminHandler
4950,9,org.apache.solr.util.SimplePostToolTest
7918,10,org.apache.solr.spelling.suggest.Suggester
4906,11,org.apache.solr.cloud.ZkCLI
1765,12,org.apache.solr.response.VelocityResponseWriter
1966,13,org.apache.solr.handler.SnapPuller
4204,14,org.apache.solr.core.TestJmxIntegration
4851,15,org.apache.solr.schema.IndexSchema
6219,16,org.apache.solr.core.CoreDescriptor
7737,17,org.apache.solr.common.util.JavaBinCodec
8145,18,org.apache.solr.cloud.ZkController
128,19,org.apache.solr.core.CoreContainer
299,20,org.apache.solr.cloud.DeleteShardTest
232,21,org.apache.solr.schema.BoolField
260,22,org.apache.solr.schema.BadIndexSchemaTest
4748,23,org.apache.solr.schema.OpenExchangeRatesOrgProviderTest
131,24,org.apache.solr.uima.processor.UIMAUpdateRequestProcessorFactory
1661,25,org.apache.solr.handler.dataimport.TestSolrEntityProcessorEndToEnd
764,26,org.apache.solr.core.ConfigSolr
1484,28,org.apache.solr.cloud.ZkCLITest
4542,29,org.apache.solr.store.hdfs.HdfsDirectory.HdfsNormalIndexInput
3578,30,org.apache.solr.client.solrj.util.ClientUtils
22,31,org.apache.solr.store.hdfs.HdfsDirectory.HdfsIndexOutput
5298,32,org.apache.solr.spelling.SpellCheckCollatorTest
701,33,org.apache.solr.schema.TestManagedSchema
1644,34,org.apache.solr.core.SolrConfig
4851,35,org.apache.solr.handler.admin.LukeRequestHandler
4468,37,org.apache.solr.core.TestJmxIntegration
34,38,org.apache.solr.servlet.SolrRequestParserTest
1035,39,org.apache.solr.servlet.SolrRequestParserTest
4100,41,org.apache.solr.update.SolrIndexSplitter
755,42,org.apache.solr.core.SolrConfig
403,43,org.apache.solr.core.TestArbitraryIndexDir
335,44,org.apache.solr.request.TestRemoteStreaming
2509,45,org.apache.solr.cloud.OverseerCollectionProcessor
142,46,org.apache.solr.core.AlternateDirectoryTest
817,47,org.apache.solr.core.ConfigSolr
323,48,org.apache.solr.SolrTestCaseJ4
1400,49,org.apache.solr.handler.extraction.SolrContentHandler
2066,50,org.apache.solr.spelling.SpellCheckCollator
5933,51,org.apache.solr.update.processor.UniqFieldsUpdateProcessorFactory.UniqFieldsUpdateProcessor
1544,52,org.apache.solr.cloud.AbstractFullDistribZkTestBase
4386,53,org.apache.solr.update.processor.DistributedUpdateProcessor
617,54,org.apache.solr.handler.component.QueryElevationComponentTest
7207,55,org.apache.solr.servlet.ZookeeperInfoServlet
1696,57,org.apache.solr.SolrTestCaseJ4
3224,58,org.apache.solr.request.UnInvertedField
967,59,org.apache.solr.search.function.distance.DistanceFunctionTest
