rank,id,item
311,3,org.apache.solr.client.solrj.ResponseParser
568,8,org.apache.solr.cloud.ChaosMonkeyShardSplitTest
810,10,org.apache.solr.spelling.suggest.Suggester
527,11,org.apache.solr.cloud.ZkCLI
1025,15,org.apache.solr.schema.IndexSchema
889,16,org.apache.solr.core.CoreDescriptor
401,21,org.apache.solr.schema.BoolField
111,24,org.apache.solr.uima.processor.UIMAUpdateRequestProcessorFactory
395,28,org.apache.solr.cloud.ZkCLITest
615,34,org.apache.solr.core.TestBadConfig
1772,35,org.apache.solr.handler.admin.LukeRequestHandlerTest
1612,41,org.apache.solr.common.cloud.HashBasedRouter
748,42,org.apache.solr.core.TestBadConfig
244,43,org.apache.solr.core.SolrConfig
709,44,org.apache.solr.servlet.CacheHeaderTest
333,46,org.apache.solr.client.solrj.embedded.MultiCoreEmbeddedTest
96,48,org.apache.solr.schema.IndexSchema
376,52,org.apache.solr.common.cloud.ImplicitDocRouter
1111,58,org.apache.solr.common.params.FacetParams
92,59,org.apache.solr.search.function.distance.DistanceFunctionTest
