rank,id,item
131,3,org.apache.solr.response.XMLResponseWriter
176,8,org.apache.solr.update.SolrIndexSplitterTest
293,10,org.apache.solr.spelling.suggest.Suggester
1018,11,org.apache.solr.cloud.ZkCLI
1365,15,org.apache.solr.schema.IndexSchema
969,16,org.apache.solr.core.CoreDescriptor
81,21,org.apache.solr.schema.BoolField
13,24,org.apache.solr.uima.processor.UIMAUpdateRequestProcessorFactory
627,28,org.apache.solr.cloud.ZkCLI
1260,34,org.apache.solr.core.SolrConfig
530,35,org.apache.solr.handler.admin.LukeRequestHandlerTest
786,41,org.apache.solr.common.cloud.HashBasedRouter
402,42,org.apache.solr.update.SolrIndexConfig
135,43,org.apache.solr.core.IndexReaderFactory
160,44,org.apache.solr.handler.TestReplicationHandler
170,46,org.apache.solr.client.solrj.embedded.MultiCoreEmbeddedTest
1656,48,org.apache.solr.schema.IndexSchema
245,52,org.apache.solr.common.cloud.ImplicitDocRouter
840,58,org.apache.solr.request.SimpleFacets
95,59,org.apache.solr.search.function.distance.DistanceFunctionTest
