rank,id,item
411,1,org.apache.tika.server.TikaResource
249,2,org.apache.tika.metadata.Metadata
5,3,org.apache.tika.mime.MimeTypesReaderTest
39,4,org.apache.tika.cli.TikaCLI
32,10,org.apache.tika.mime.TestMimeTypes
211,11,org.apache.tika.parser.pdf.PDFParser
60,12,org.apache.tika.parser.pdf.PDFParser
122,13,org.apache.tika.parser.html.HtmlParser
89,14,org.apache.tika.parser.rtf.TextExtractor
640,15,org.apache.tika.parser.chm.lzx.ChmLzxBlock
142,16,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
24,17,org.apache.tika.parser.pdf.PDFParser
514,18,org.apache.tika.parser.chm.ChmParser
131,19,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
129,20,org.apache.tika.cli.TikaCLI
487,21,org.apache.tika.sax.ToXMLContentHandler
147,23,org.apache.tika.parser.html.HtmlParserTest
133,24,org.apache.tika.parser.html.HtmlParserTest
