rank,id,item
19,1,org.apache.tika.server.TikaResource
200,2,org.apache.tika.metadata.Metadata
110,3,org.apache.tika.mime.MimeTypesReaderTest
13,4,org.apache.tika.parser.microsoft.SummaryExtractor
55,10,org.apache.tika.mime.TestMimeTypes
58,11,org.apache.tika.parser.pdf.PDFParserTest
139,12,org.apache.tika.parser.pdf.PDFParser
102,13,org.apache.tika.parser.html.HtmlParser
203,14,org.apache.tika.parser.rtf.RTFParserTest
121,15,org.apache.tika.parser.chm.lzx.ChmLzxBlock
50,16,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
104,17,org.apache.tika.parser.pdf.PDFParser
111,18,org.apache.tika.parser.chm.ChmParser
52,19,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
152,20,org.apache.tika.cli.TikaCLI
374,21,org.apache.tika.sax.ToXMLContentHandler
117,23,org.apache.tika.parser.html.HtmlParserTest
201,24,org.apache.tika.parser.html.HtmlParserTest
