rank,id,item
33,1,org.apache.tika.server.TikaResource
630,2,org.apache.tika.metadata.Metadata
310,3,org.apache.tika.mime.MimeTypesReaderTest
565,4,org.apache.tika.parser.microsoft.AbstractPOIFSExtractor
638,10,org.apache.tika.mime.TestMimeTypes
22,11,org.apache.tika.parser.pdf.PDFParserTest
397,12,org.apache.tika.parser.pdf.PDFParser
229,13,org.apache.tika.parser.html.HtmlParser
248,14,org.apache.tika.parser.rtf.RTFParserTest
637,15,org.apache.tika.parser.chm.lzx.ChmLzxBlock
38,16,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
395,17,org.apache.tika.parser.pdf.PDFParser
385,18,org.apache.tika.parser.chm.ChmParser
310,19,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
633,20,org.apache.tika.cli.TikaCLI
562,21,org.apache.tika.sax.ToXMLContentHandler
332,23,org.apache.tika.parser.html.HtmlParserTest
282,24,org.apache.tika.parser.html.HtmlParserTest
