rank,id,item
19,1,org.apache.tika.server.TikaResource
196,2,org.apache.tika.metadata.Metadata
121,3,org.apache.tika.mime.MimeTypesReaderTest
12,4,org.apache.tika.parser.microsoft.SummaryExtractor
50,10,org.apache.tika.mime.TestMimeTypes
58,11,org.apache.tika.parser.pdf.PDFParserTest
132,12,org.apache.tika.parser.pdf.PDFParser
104,13,org.apache.tika.parser.html.HtmlParser
201,14,org.apache.tika.parser.rtf.RTFParserTest
115,15,org.apache.tika.parser.chm.lzx.ChmLzxBlock
48,16,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
98,17,org.apache.tika.parser.pdf.PDFParser
107,18,org.apache.tika.parser.chm.ChmParser
47,19,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest
140,20,org.apache.tika.cli.TikaCLI
435,21,org.apache.tika.sax.ToXMLContentHandler
114,23,org.apache.tika.parser.html.HtmlParserTest
197,24,org.apache.tika.parser.html.HtmlParserTest
