rank,id,item
442,2,org.apache.zookeeper.server.quorum.QuorumCnxManager
335,3,org.apache.zookeeper.ZooKeeper
48,4,org.apache.zookeeper.test.CnxManagerTest
194,5,org.apache.zookeeper.server.quorum.QuorumPeer
218,6,org.apache.zookeeper.server.ZooTrace
190,7,org.apache.zookeeper.inspector.manager.ZooInspectorManagerImpl
11,8,org.apache.zookeeper.server.SessionTrackerImpl
185,9,org.apache.zookeeper.server.auth.SASLAuthenticationProvider
393,10,org.apache.zookeeper.ZooKeeperMain
100,11,org.apache.zookeeper.test.FLETest
16,12,org.apache.zookeeper.test.StandaloneTest
518,14,org.apache.zookeeper.client.ZooKeeperSaslClient
440,15,org.apache.zookeeper.common.PathUtils
491,16,org.apache.zookeeper.server.NIOServerCnxnFactory
564,17,org.apache.zookeeper.client.ConnectStringParser
202,18,org.apache.zookeeper.server.quorum.QuorumPeerConfig
32,19,org.apache.zookeeper.AsyncCallback
174,20,org.apache.zookeeper.server.FinalRequestProcessor
313,21,org.apache.zookeeper.server.quorum.QuorumPeer
67,22,org.apache.zookeeper.server.ZKDatabase
6,23,org.apache.zookeeper.server.quorum.QuorumPeerMainTest
1,24,org.apache.zookeeper.server.PrepRequestProcessorTest.MySessionTracker
286,25,org.apache.zookeeper.server.quorum.QuorumPeer
83,26,org.apache.zookeeper.server.Request
401,27,org.apache.zookeeper.jmx.MBeanRegistry
815,28,org.apache.zookeeper.test.ZkDatabaseCorruptionTest
42,29,org.apache.zookeeper.test.HierarchicalQuorumTest
214,30,org.apache.zookeeper.test.TruncateTest
106,31,org.apache.zookeeper.server.ZKDatabase
28,32,org.apache.zookeeper.test.QuorumTest
623,33,org.apache.zookeeper.server.NettyServerCnxn
59,34,org.apache.zookeeper.test.QuorumUtil
163,35,org.apache.zookeeper.server.persistence.FileTxnLog
287,36,org.apache.zookeeper.server.quorum.QuorumPeer
99,37,org.apache.zookeeper.inspector.manager.ZooInspectorManagerImpl
153,39,org.apache.zookeeper.server.FinalRequestProcessor
48,40,org.apache.zookeeper.server.ZooKeeperServer
10,41,org.apache.zookeeper.server.quorum.QuorumPeerMainTest
124,42,org.apache.zookeeper.inspector.manager.ZooInspectorManagerImpl
439,43,org.apache.zookeeper.server.SnapshotFormatter
49,44,org.apache.zookeeper.server.DataTree
439,45,org.apache.zookeeper.ClientCnxn
49,46,org.apache.zookeeper.ClientCnxn
449,47,org.apache.zookeeper.server.NIOServerCnxn
189,48,org.apache.zookeeper.test.FLETest.TestVote
238,49,org.apache.zookeeper.test.FLETest
513,50,org.apache.zookeeper.server.NIOServerCnxn
554,51,org.apache.zookeeper.client.ZooKeeperSaslClient
194,52,org.apache.zookeeper.server.DataTree
50,53,org.apache.zookeeper.client.StaticHostProvider
284,54,org.apache.zookeeper.ClientCnxn
481,55,org.apache.zookeeper.test.WatcherTest
303,56,org.apache.zookeeper.server.ZooKeeperServer
404,57,org.apache.zookeeper.test.CnxManagerTest
28,58,org.apache.zookeeper.server.TruncateCorruptionTest.Check
380,59,org.apache.zookeeper.server.PrepRequestProcessor
411,60,org.apache.zookeeper.server.SessionTrackerImpl
239,61,org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical
830,62,org.apache.zookeeper.test.ZkDatabaseCorruptionTest
587,63,org.apache.zookeeper.client.StaticHostProvider
230,64,org.apache.zookeeper.server.quorum.Zab1_0Test
75,65,org.apache.zookeeper.server.persistence.FileTxnSnapLog
107,66,org.apache.zookeeper.test.ClientTest
116,67,org.apache.zookeeper.server.quorum.Leader
196,68,org.apache.zookeeper.server.quorum.QuorumPeerConfig
225,69,org.apache.zookeeper.server.quorum.QuorumPeer
352,70,org.apache.zookeeper.ZooKeeperMain
302,71,org.apache.zookeeper.test.ClientTest
265,72,org.apache.zookeeper.test.QuorumTest
403,73,org.apache.zookeeper.server.NIOServerCnxn
417,74,org.apache.zookeeper.server.ZooKeeperServer
572,75,org.apache.zookeeper.server.DataTree
421,76,org.apache.zookeeper.server.quorum.QuorumPeerMainTest
220,77,org.apache.zookeeper.ZooKeeper
36,78,org.apache.zookeeper.server.quorum.QuorumPeer
13,79,org.apache.zookeeper.server.DataTree
337,80,org.apache.zookeeper.ZooKeeperMain
582,81,org.apache.zookeeper.server.NettyServerCnxn
3,82,org.apache.zookeeper.server.quorum.QuorumPeerMain
314,83,org.apache.zookeeper.server.quorum.Zab1_0Test
